TELEM,1060080,746030,746097,0.000,0.000,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.000,0.000,0.000,3
TELEM,1060100,746039,746106,0.056,0.049,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.000,0.000,0.000,3
TELEM,1060120,746062,746128,0.172,0.162,-0.05,-3.28,1.73,-0.051,0.016,-0.016,-0.035,-0.004,-0.002,3
TELEM,1060140,746090,746155,0.274,0.269,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.008,0.002,0.008,3
TELEM,1060160,746120,746184,0.345,0.336,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.014,0.002,0.002,3
TELEM,1060180,746149,746212,0.396,0.384,-0.05,-3.28,1.73,-0.051,0.016,-0.016,-0.014,0.000,-0.002,3
TELEM,1060200,746177,746241,0.417,0.410,-0.05,-3.28,1.73,-0.051,0.016,-0.016,-0.004,0.000,-0.002,3
TELEM,1060220,746205,746269,0.431,0.426,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.014,-0.008,0.002,3
TELEM,1060240,746233,746296,0.434,0.436,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.002,0.000,-0.002,3
TELEM,1060260,746260,746324,0.442,0.437,-0.05,-3.28,1.73,-0.051,0.016,-0.016,-0.012,-0.004,0.000,3
TELEM,1060280,746287,746351,0.441,0.443,-0.05,-3.28,1.73,-0.051,0.016,-0.016,-0.006,0.000,0.006,3
TELEM,1060300,746315,746378,0.440,0.442,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.014,0.000,-0.002,3
TELEM,1060320,746343,746406,0.445,0.440,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.002,0.002,0.002,3
TELEM,1060340,746371,746433,0.449,0.446,-0.05,-3.28,1.73,-0.051,0.016,-0.016,-0.014,0.000,0.002,3
TELEM,1060360,746399,746461,0.451,0.443,-0.05,-3.28,1.73,-0.051,0.016,-0.016,-0.010,0.004,0.008,3
TELEM,1060380,746427,746489,0.459,0.447,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.006,0.004,0.006,3
TELEM,1060400,746456,746517,0.458,0.457,-0.05,-3.28,1.73,-0.051,0.016,-0.016,-0.010,-0.002,-0.002,3
TELEM,1060420,746484,746545,0.463,0.456,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.006,0.000,0.004,3
TELEM,1060440,746513,746574,0.460,0.456,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.010,-0.004,-0.008,3
TELEM,1060460,746542,746602,0.464,0.462,-0.05,-3.28,1.73,-0.441,-0.359,0.465,-0.012,0.004,-0.006,3
TELEM,1060480,746570,746631,0.466,0.460,-0.05,-3.28,1.73,-0.441,-0.359,0.465,-0.008,0.002,0.006,3
TELEM,1060500,746600,746660,0.467,0.463,-0.05,-3.28,1.73,-0.441,-0.359,0.465,0.010,-0.004,-0.002,3
TELEM,1060520,746629,746689,0.468,0.465,-0.05,-3.28,1.73,-0.441,-0.359,0.465,0.006,-0.004,0.002,3
